user_id,item_id,rating,label,num_tokens
1,1,4,1,307
2,2,5,1,162
3,3,5,1,166
4,4,1,0,138
5,5,4,1,230
6,6,5,1,119
7,7,5,1,150
8,8,1,0,174
9,9,1,0,130
10,10,4,1,33
11,11,2,0,96
12,12,2,0,180
13,13,2,0,398
14,14,1,0,117
15,15,5,1,50
16,16,2,0,140
17,17,5,1,146
18,18,2,0,228
19,19,4,1,129
20,20,2,0,133
21,21,4,1,308
22,22,2,0,180
23,23,4,1,65
24,24,2,0,332
25,25,1,0,151
26,26,5,1,114
27,27,5,1,570
28,28,2,0,145
29,29,1,0,122
30,30,4,1,615
31,31,5,1,400
32,32,5,1,354
33,33,2,0,105
34,34,5,1,652
35,35,2,0,253
36,36,2,0,369
37,37,1,0,95
38,38,2,0,310
39,39,5,1,122
40,40,2,0,259
41,41,2,0,123
42,42,4,1,212
43,43,1,0,176
44,44,1,0,262
45,45,4,1,178
46,46,4,1,235
47,47,2,0,76
48,48,1,0,143
49,49,4,1,707
50,50,2,0,99
51,51,5,1,419
52,52,5,1,621
53,53,4,1,166
54,54,4,1,80
55,55,2,0,194
56,56,2,0,211
57,57,2,0,210
58,58,2,0,165
59,59,4,1,488
60,60,4,1,445
61,61,2,0,171
62,62,2,0,153
63,63,4,1,86
64,64,2,0,47
65,65,1,0,180
66,66,4,1,293
67,67,2,0,336
68,68,2,0,143
69,69,1,0,199
70,70,2,0,300
71,71,2,0,221
72,72,2,0,284
73,73,5,1,245
74,74,4,1,190
75,75,1,0,271
76,76,4,1,150
77,77,5,1,309
78,78,2,0,608
79,79,1,0,137
80,80,5,1,293
81,81,5,1,160
82,82,2,0,149
83,83,1,0,257
84,84,1,0,426
85,85,2,0,75
86,86,1,0,147
87,87,1,0,297
88,88,2,0,138
89,89,2,0,193
90,90,2,0,352
91,91,5,1,173
92,92,2,0,190
93,93,4,1,398
94,94,5,1,173
95,95,1,0,137
96,96,5,1,263
97,97,2,0,186
98,98,1,0,130
99,99,2,0,189
100,100,4,1,525
101,101,4,1,137
102,102,1,0,766
103,103,4,1,147
104,104,5,1,299
105,105,1,0,180
106,106,5,1,214
107,107,5,1,111
108,108,2,0,309
109,109,5,1,169
110,110,5,1,122
111,111,2,0,140
112,112,2,0,196
113,113,2,0,40
114,114,5,1,96
115,115,5,1,266
116,116,5,1,125
117,117,4,1,341
118,118,1,0,87
119,119,1,0,95
120,120,1,0,281
121,121,5,1,115
122,122,4,1,168
123,123,2,0,205
124,124,2,0,162
125,125,4,1,141
126,126,2,0,123
127,127,1,0,400
128,128,1,0,134
129,129,4,1,208
130,130,5,1,130
131,131,4,1,197
132,132,4,1,434
133,133,1,0,160
134,134,2,0,125
135,135,1,0,188
136,136,2,0,421
137,137,4,1,103
138,138,1,0,253
139,139,4,1,286
140,140,2,0,271
141,141,2,0,393
142,142,2,0,287
143,143,1,0,569
144,144,5,1,83
145,145,1,0,251
146,146,4,1,316
147,147,4,1,220
148,148,4,1,300
149,149,2,0,139
150,150,2,0,282
151,151,5,1,163
152,152,2,0,181
153,153,2,0,177
154,154,5,1,194
155,155,2,0,200
156,156,1,0,93
157,157,2,0,845
158,158,4,1,140
159,159,1,0,138
160,160,4,1,119
161,161,4,1,53
162,162,1,0,214
163,163,1,0,74
164,164,2,0,487
165,165,4,1,374
166,166,1,0,76
167,167,5,1,123
168,168,2,0,231
169,169,2,0,116
170,170,1,0,356
171,171,2,0,248
172,172,1,0,154
173,173,5,1,621
174,174,5,1,373
175,175,1,0,274
176,176,2,0,283
177,177,5,1,219
178,178,1,0,761
179,179,5,1,207
180,180,2,0,220
